Date,Name,Year,Letterboxd URI
2020-06-16,Da 5 Bloods,2020,https://boxd.it/lnXw
2020-06-16,Knives Out,2019,https://boxd.it/jWEA
2020-06-16,Parasite,2019,https://boxd.it/hTha
2020-06-16,Uncut Gems,2019,https://boxd.it/gXGc
2020-06-16,BlacKkKlansman,2018,https://boxd.it/hxL8
2020-06-16,Moonlight,2016,https://boxd.it/d6bE
2020-06-16,Joker,2019,https://boxd.it/h4cS
2020-06-16,Pulp Fiction,1994,https://boxd.it/29Pq
2020-06-16,Midsommar,2019,https://boxd.it/jhxe
2020-06-16,My Neighbor Totoro,1988,https://boxd.it/20eA
2020-06-16,Nosferatu,1922,https://boxd.it/29TM
2020-06-16,Howl's Moving Castle,2004,https://boxd.it/23De
2020-06-16,Bacurau,2019,https://boxd.it/fSUG
2020-06-16,City of God,2002,https://boxd.it/2a2a
2020-06-16,The Seventh Seal,1957,https://boxd.it/2ahO
2020-06-16,Arrival,2016,https://boxd.it/aNGk
2020-06-16,Roma,2018,https://boxd.it/f69M
2020-06-16,The Lighthouse,2019,https://boxd.it/icFU
2020-06-16,Django Unchained,2012,https://boxd.it/2cCk
2020-06-16,At Midnight I'll Take Your Soul,1964,https://boxd.it/1kje
2020-06-17,The Dark Knight,2008,https://boxd.it/2b0k
2020-06-19,Antonio das Mortes,1969,https://boxd.it/2Bcm
2020-06-19,"Black God, White Devil",1964,https://boxd.it/2fmY
2020-06-19,Entranced Earth,1967,https://boxd.it/qkU
2020-06-19,The Irishman,2019,https://boxd.it/dYOq
2020-06-19,Marriage Story,2019,https://boxd.it/hJAw
2020-06-19,Green Book,2018,https://boxd.it/hErk
2020-06-19,Aquaman,2018,https://boxd.it/9ru0
2020-06-19,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q
2020-06-19,A Star Is Born,2018,https://boxd.it/aXgc
2020-06-19,The Witch,2015,https://boxd.it/9X0m
2020-06-19,Vincent,1982,https://boxd.it/1hLa
